,Unnamed: 0,»ç¿ëÀÚ¸í,´ñ±Û,ÇÑ±¹ÀÎ
10,10,Ammy Ly,A big pity to kpop fans these days that they say their idols is a king of Kpop .,0
11,11,DOYOUNG BEST BOY,fun fact: this is not your first time watching this,0
12,12,Mehrab Sattar,"Be real, this was the last time any of us actually enjoyed MAMA :'(",0
13,13,haengsho,Sorry to say but no one can perform like them in the Kpop industry,0
14,14,Andrea Salas,BIGBANG are not kpop idols. They are legendary rock stars.,0
15,15,Dobby's tongue lives in the outside world,BIGBANG is like Doctorate level of studies. SO hard to achieve hahahahaha,0
16,16,John Onil Alcaide,"NO HATE, BUT BIGBANG ARE LEGENDS AND THE KING'S OF KPOP. NO DEBATE NEEDED",0
17,17,Debbie I,"Literally me after watching Mama 2015:

Searches ¡°BigBang Mama 2014¡±. 
Next search ¡°BigBang Mama 2013¡±
Next search ¡°BigBang Mama 2012¡±

Wash rinse repeat ??",0
18,18,Nicki Minaj,"Without them, kpop is nothing.",0
19,19,ST,award shows should be like this. experiencing diff artists concerts in one show,0
20,20,Cotton Cxtton,bigbang king kpop,0
21,21,Nairobi La,"Don't ask if we are still here, vip's never left.",0
22,22,Abdul Azim,"By sitting on Sehun's lap and singing ""I'm a man who's holding a pretty flower (Sehun)"", Seungri stopped the war between exo-l and VIP... Good days ??????????",0
23,23,emma emmafara90,BigBang is The Legend in KPOP . No any group can be as BIGBANG . Their Live Concert is TREMENDOUS.,0
24,24,Mariana Getih,"Just my opinion, why I think BIGBANG is amazing artist.
1. Not easy for a group band to perform slow music (loser) with a strong stage presence. and the 5 of them shine.
2. They just dance randomly instead like those idol need to used choreograph to make the performance professional. BIGBANG can make their performance still shine with just random dance. Their stage presence undeniable is one of the best.",0
25,25,Itaur september,It's 2021 and there's no other group like Bigbang especially live performance.. I miss them all. I hope  our panda is doing fine It'll never be the same without you??????,0
26,26,Makaveli 7,"Bigbang is a non-generation group, because their music is timeless.",0
27,27,leen chan,This was my last MAMA. BB¡¯s performance is so simple but powerful and unique. BB doesn¡¯t need a complicated concept or too much props to make them shine. Their vocals and stage presence is enough to hype the crowd. I tried to watch MAMA 2020 but it¡¯s just eh-  so many actings are going on and also dancing it overshadows the group¡¯s vocals.,0
28,28,Yos Mabait,Remember this day when VIPs and Exo-Ls just ended the legendary  fan war in just a snap bec. Of Seungri and Sehun's scene hahahaha I love that moment! I hope everyone see the kpop music like an open book and appreciate everyones work. Stop the hate instead spread love and positivity.,0
29,29,F ran,Even your idol is wanting and waiting for bigbang's comeback 100% sure,0
30,30,hey boy,"The fact that they don't even need a choreo to burn the stage, bow down to the kings!",0
31,31,Claire Jacob,"Back here again after one of exo-l tweet about the ""healthy"" competition between bigbang and exo bigbang lmao ?? hats off to seungri for ending that freaking hell of fanwars ????????",0
32,32,Mac I. Watt,"2021 i just noticed n obsessed with this kpop band.. Great live vocal not miming like certain kpop band, swag dance moved very entertaining.. Their live performance is so good! i cant stop watchin this!",0
33,33,Sheva Libor,There's a show we're they ask CL how yg trained them and she told them YG trained them to be a real performer since their visuals is very unique to others not a typical cuteness and synchronised dance steps.,0
34,34,wul,Kinda rude how there's an award show in the middle of Bigbang's concert,0
35,35,Wahlee Satu,They are on a different class as they are not dancing to the tune.. they are just enjoying the concert and getting in touch with their fans..and they have their CELEBRITY AURA,0
36,36,ST,can someone bring me back to 2013 era and relive all these again,0
37,37,Taufiiqul Gamers,Even the cameraman shaking his camera when listening intro of BANG BANG BANG????,0
38,38,shubham paudel,The only kpop band to have more male fans than female fans.,0
39,39,r u b y . m,Big bang is so legendary that they became idol¡¯s idol. King ??,0
40,40,Rohita,"11:08-11:15 - Top literally just stands there and swings his hand but the amount of swag and stage presence he is oozing is crazy. 11:40 GD just scream and am like ¡°yazzzzz¡±.

Like you can¡¯t learn these things. It¡¯s either you have it or you don¡¯t.",0
41,41,gamora potter,I still can't find someone with as good vocals as Taeyang. Srsly his voice hits soul.,0
42,42,Amandaa,"Flashback.

BigBang & EXO is king of kpop.",0
43,43,Artemis Reacher,"When BIG BANG is invited, you knew it's not your concert.",0
44,44,gtdstpivxxx 3029,They are not a typical boy group but they're ADULTS GROUP ??,0
45,45,Siti,And jay park (jype) got attacked by saying bigbang is king of kpop like wth he state a fact,0
46,46,Tashi Wangmo,"So I am not the only one doing a marathon of BIGBANG's performances during quarantine. Shout out to my comrades, VIPs.???",0
47,47,phong Nguy?n,G-Dragon always fashion,0
48,48,??YGehe-,"BIGBANG : ""The best Rappers""
                    'The best Vocals""
                    'The best slayed stage""
COMEBACK : WHEN??",0
49,49,Ma. Kasandra Asuncion,"Kids, this is what we call LIVE (+stage presence)!!!",0
50,50,Coleen _,MAMA without Bigbang is boring. Award shows nowadays aren¡¯t a competition anymore. They only give awards to those who attend and it¡¯s so boring because you already know who¡¯s going to win the daesang.,0
51,51,N M,LEGENDS??,0
52,52,mark gwapo,For me this era is the peak of KPOP,0
53,53,Koala Pop,KINGS,0
54,54,Thrynx,Stop asking who¡¯s still watching at 2021? WE NEVER LEFT!!,0
55,55,Edward Kuoch,The only 2 groups that perform like this in K-pop are BigBang and iKON. The rest all do super hard choreo's but it's so boring unless the song is good.,0
56,56,Laura Zapata,"BigBang is GOLD, there's no one like them.",0
57,57,Real_Red,They are the only idol group with the king's charisma.,0
58,58,aerulia,"No matter how much you try, bigbang are THE kings of kpop",0
59,59,Maebel twopoint0,I grow old with their music. Set up a good mood all the time.,0
60,60,Mary Emilou Janine Limpot,I miss Bigbang. Too bad Seungri can¡¯t be with them anymore when they comeback. Huhu. #ot5forever #JusticeforSeungri,0
61,61,heeniee,"it's been 5 years, and this is how many people still coming here.",0
62,62,ATHUL RAJESH,Even the f***ing camera started shaking at 8:43 ??????,0
63,63,DUDERO MURADOR,"i dont even know why i followed bigbang way back 2010, tbh. im a guy whos not into kpop however, these guys had made me curious and interested. now, im engaged and up until now,  they still remains as the only group i knew abt individually, no homo, straight facts. also, i really feel glad coz' i was able to witness their greatness. there's no stopping me introducing them to my future babies",0
64,64,Flamie San,Imagine this if they'll perform on grammy awards with that all in impact and impression. Whoah! Totally pure talents! Just saying,0
65,65,Ashley Reean,"2nd gen, 3rd gen, 4th gen... WE ALL REALLY KNOW WHO THE KINGS OF KPOP no matter the generation!!! AND THAT¡¯S A FACT! 

if yall cant still agree with that, soemthing¡¯s wrong with your brain ??",0
66,66,nurin adriana,Kpop getting boring without bigbang,0
67,67,? ????? TREASURE ?,GD never stops being the best ????,0
68,68,hoang tham,"Actually, I think that no younger boy band K-pop can do like BigBang did. 
Now, 2021 And I still watch their performance, so lively.",0
69,69,Mr Fad Hanafi,Even its already 2021 but i think bigbang still be the best korean boyband in history! Lot of love from Malaysia??,0
70,70,Ro Se,I tried to watch other boy group but I always ending up here. So hard to stan other when you already have the Kings ??????????,0
71,71,iKON7 GOT7,*MAMA IS BORING WITHOUT YG ARTISTS ESPECIALLY BIGBANG*,0
72,72,ON THE GROUND,they¡¯re literally so different. best boy group in the whole kpop history,0
73,73,Graziee,for me there is no next GDRAGON and BIGBANG periodt.,0
74,74,SLSTNT d'sguyz,"Just wanna inform you Kings, i'm still here waiting on the flower road",0
75,75,elizabeth buro,"I heard a rumor that if you stan one group from YG, you ended up stanning all of the groups that is under YG Entertainment.",0
76,76,sunoo loml,BIGBANG KINGS OF KPOP,0
77,77,CMRSTS,Best MAMA performance ever periodt.,0
78,78,_sshhh britt,BIGBANG STILL NUMBER ONE.??,0
79,79,Senming Rai,Everybody gangster until Bigbang make comeback..,0
80,80,Nathaniel Marcel Lai Ukang,This is what we called stage performed.,0
81,81,Evelyne K,i want a comebaaaack ??????,0
82,82,baby milo,5 years and no on can even reach the level of TAEYANG's voice,0
83,83,ros?e 33,"I can't I can't ,,,,,, I've never seen a masterpiece like them on stage. I'm OBSESSED!",0
84,84,Anna Smylla,Who is coming here cause MAMA still bad without BIGBANG?,0
85,85,Raven,Literally made this award show their own concert!! ????,0
86,86,nandinerdene hn,royal family=2ne1¡¯big bang??,0
87,87,Dyas Lunaomi,"Loser is a melow music song, but look how hype the audience to their show. True king",0
88,88,Bando Lino,"SORRY TO DISAPPOINT YOU HONEY, BUT VIPs ARE STILL HERE! PERIODT.",0
89,89,Etik Istiningrum,"this is what you get when you let two best friends did what they love together, perfection.",0
90,90,O.D.P,"1. im not sorry 00:00
2. bermuda triangle 03:39
3. turtle ship 07:35
4. okey dokey 09:09
5. fanxy child 11:15",0
91,91,fancyblue,"Can we talk about how versatile Dean's voice is. He's melody rap verse in bermuda triangle was a pleasant surprise and I always thought he has a high voice but that deep voice for the rap in turtle ship and okie dokie is hella manly. Not to mentioned he's gestures and movement is on point. There's this subtlety to him that's really cool. 

Can't wait for the songs they are going to produce in the upcoming episodes. It's gonna be such a fresh difference compared to other teams. I love all the producer teams. Not gonna let mnet's poor editing affect my mood. Just hope they continue to release the full ver.",0
92,92,mayafcb,"TWO FANXYS IN HERE
The talent is too much for msnake to handle",0
93,93,muquddashammad MUQU'SLAB,"Anyone watching in 2021?
Zico and dean both are legendary",0
94,94,asian.rice,HOLY CRAP DEAN's RAP IN BERMUDA TRIANGLE WAS NOT EXPECTED HELLLLOOOOOOOOOO,0
95,95,Yueyang Hou,"It's 2021 now and I miss Codean soooo much. Everytime I watch this video, Dean kills me at different parts. Used to be his rap but this time it's even the wave when he sang ""fancy fancy fancy."" cannot love him more.",0
96,96,Beho1010,Different R&B!!! I laugh remembering all other producer's face when he sing this part! ??????,0
97,97,hanabi sketchbook,"Wow, Zico is such a natural performer. It's amazing how the stage overflows energy the minute he's on it. I really like Dean's performance too, but I think his strength is in his melancholic/cool vibe. Zico has the ability to bring energy and hype the crowd",0
98,98,Dara Ganderi,i have a calc exam tomorrow and i'm hype af now,0
99,99,Gabo and Nati in Australia,"Flipping heck, Dean is soooo underrated!!! How can we get him more famous!!!! Soooo good!",0
100,100,jamjam,I'm sorry for a moment I thought their preformance wasn't perfect enough but now while I'm watching the full one I'm sure that mnet editing is a bullshit,0
101,101,Fineapple dot,Mehn i'm having a mini concert in my room at 2am??,0
102,102,Natalie Braunton,GOD DAMN!! Zico is so hype! And Dean's voice is absolutely amazing! Love this,0
103,103,Soph Reads,"I kinda glad that Dean is always covering his face with hat and glasses. Cz I'm afraid mnet would edit him like he just has handsome face. Plz, let everybody knows that Dean is SUPER talented! Zico and Dean are truly talented young musician ?

Anyway, at least mnet is reuploading this vid again. Just, don't try to delete this again, ugh.",0
104,104,Tia,I would listen to an album of Dean's backing vocals and Ad-libs,0
105,105,LINGZHU ZHOU,My friend told me dean was criticized because his rap part was almost deleted in the show. South Korea netizen censure dean for being a producer because he just sang in the show. I saw dean's Instagram and what he posted. I don't know it is true or not. I feel sad about this. I hope the full version can change those people's opinions. Dean can be a good producer.,0
106,106,Emily,I didn¡¯t even know anything about smtm I just flippin love DEAN and CRUSH and heckin ZICO and oml I love thissss,0
107,107,Love Yourself,"I wish Crush showed up as well but with all the swag that was already on stage the world would implode. I'm just stating facts. 
Fanxychild needs to go on tour. ??
Edit: Mino showing up too omg I can't even fathom. Lawd.",0
108,108,jimin is divine,4:06 that girl is me. ???? that's probably how I would react,0
109,109,KaKa Lam,"Different R&B, different R&BBB~",0
110,110,ptvsuga,WTFFF WHY DID IT TAKE ME 3 YEARS TO WATCH THIS???? DEAN'S RAP IN BERMUDA TRIANGLE??? HELLO?? I'M FREAKING OUT,0
111,111,S0RI,"At 5:29 DEAN turns Into his real form, a god",0
112,112,Nur Latifah Zahra,RAP CAN BE SO BEAUTIFUL WITH DEAN VOICE ??????,0
113,113,Queen Bee,Mnet can't Handel Fanxy Child,0
114,114,piem seukijeu,LMAO I  CAN'T BELIEVE MNET ARE SO SCARED TO SEE THESE BOYS GETTING SO MANY LIKES AND VIEWS.,0
115,115,cessy,"CAME HERE AFTER WATCHING EPISODE 3 OF SMTM777, I MISSED MY CODEAN",0
116,116,Sony249,"Mnet, the more you will delete this video and reupload it, the more I (and everybody else I think) will just hate you more for the editing you've done..",0
117,117,Nilda Izzati,So kim seunghun and byunggon can be Zico and Dean 2.0 ??,0
118,118,RSVLove,This live performance becomes my sleeping lullaby at  night. I got sleepy right away ?? their awesome voice and superb rapping made my ears happy ??,0
119,119,Ji Sn,"this is a legendary stage. i mean, they showed so many passion here i watch this video and feel like receiving energy from them. thank you Dean & Zico. many loveeee from me",0
120,120,Junoo Cheong,if I had a penny for every time they said 'hands up' I'd be more rich than dok2,0
121,121,Shania Eriadhani A.,"omg dean's voice :""))",0
122,122,Jaxxen Hale,Take a shot for every time Dean says hands up ??,0
123,123,Faith Martinez,"I remember this, when i watch ZICO performance here i wasnt paying any attention to Dean coz i was just interested on ZICO but when i watch this full performance DAMN i thought he was just one of SMTM visual... I never imagined how talented this guy is.....they're really one of the best rapper/singer korea has and will ever have.....??????????",0
124,124,Aliyah 9898,Fuck i feel so bad for dean... stay strong boy your skills are beyond mnet's editing skills and this video proves your worthiness to keep being a smtm judge. ??,0
125,125,Alana Rea Aqilea Xero,Dean voice just so gorgerous while zico rap so lit,0
126,126,ini,"dean: h ..
me: mY SON YOUR VOICE IS SO BEAUTIFUL THAT I NEED TO PROTECT YOU FROM THIS WORLD I LOVE YOU SO MUCH ????????????",0
127,127,ôÚæÁ×Ã,"I miss DEAN AND ZICO PERFORMANCE SO MUCHH 
especially DEANNNNNNNNNNN",0
128,128,excellentsoul dean,i swear i live for dean and zico's voice.... so beautiful.....,0
129,129,//,1:11 ??????????????... ??????????????...,1
130,130,haram2411,3:24 Killing Point,1
131,131,SilVerBell,¡°Too Early To Sleep¡±,0
132,132,Carl J,Watching this channel makes you wanna visit Incheon,0
133,133,Selena Bonilla,"The ending ?????? ""the meetings done, go""   ""ok~"" was he pretending to lag the whole time?! Or did the signal finally be start working.",0
134,134,Aslo Zanbo,"Ryucheon is definitely my favorite character u created, he is that one drunk uncle everyone has.",0
135,135,Smita Rai,6:16 At the end lmao....Joonyoung flew off right away??,0
136,136,Diana,"As someone who¡¯s used to read the subs and from Asia, I enjoy these way more than English voicing",0
137,137,tanzeela,"the details are impeccable, like how at 5:03 the camera defocuses as Sungweon raises his hands...just wowowow",0
138,138,Gooey Life,I was waiting until Ryucheon got unmuted,0
139,139,lee ameni,now this is what you call creativity xD,0
140,140,just whatever,This is the best and most creative add ever ??,0
141,141,Seonggwang Kim,4:11 Team azimkiya,0
142,142,Aparajita Shakhawat,It's amazing how he makes the promotional ads into contents.,0
143,143,David Cheong,I've not seen a better YouTube channel ad. ??,0
144,144,Uder TheLast,The fun part in this video was that I had an ad for mattresses right below the video(was watching from the phone),0
145,145,Robyn B,This video actually makes me want to buy a Zinus mattress.,0
146,146,Une simple boh?mienne,Best crossover in anime industry,0
147,147,jojo,"I hate how this went nowhere, but i shouldve known, i clicked on jangbijjus content, damn myself",0
148,148,Mega Bondagemon,"""Mom, can we have Detective Conan and Kindaichi?""

""No, we have Conan and Kindaichi at home"" 

Conan and Kindaichi at home:",0
149,149,otaku_111,The channel that makes payed promotions enjoyable to watch,0
150,150,Shivam Dabral,This is beautiful ...,0
151,151,Angels universe,"This is the English comment you are looking for ????
Edit: MOM AND DAD YOUR FAMILY HAS A  FAMOUS CELIBRITY LOL????",0
152,152,Cindy Lu,"I don't know what they're saying, all I understood was ""Lisa! Do yOu liVe uNdER a rOck?"" lmao",0
153,153,BLACKPINK HIT ME WITH THAT DDU DU DDU DU,"Here's a rough translation (also, the english comment u are looking for ??) :
They fooled lisa that there's a product called ""chiccup/chikup"" (not sure of the spelling) it's like an edible toothpaste that you could just swallow rightafter brushing ur teeth ?? i know it sounds gross that's why lisa was amazed that there exists such thing HAHAHAHAHA poor lili being laughed at by her unnies",0
154,154,Suga R,"Lisa doesn't understand some Korean.
Me : Doesn't understand these comments.",0
155,155,Ida Suaida,"I've seen this in their vlive.. They are talking about ""chikkub"" (sorry, i don't know how to spell it) .
Lisa doesn't know ""chikkub"" is chicken and they are telling Lisa that chikkub is edible toothpaste.

I'm the english comment that you are searching for :p hihihi",0
156,156,mul cans,savage ros?!!!,0
157,157,Sy eda,"They are talking about chikkopp(in korean)
Which means chicken skin..
But Lisa doesn't know the word...
So they told her that chikkopp is kind of toothpaste which you can eat??Lisa was like oh!!! A toothpaste that you can eat!!??
They just make fun of her...
Lol...",0
158,158,std world,Jennie has most teaching part in Lisa such good Korean now,0
159,159,sucheol lee,"Hi Blinks, this is how unnies tease maknae lol
JI: anyone who wants to try? what is this btw.
Je: me me!
Ro: chicken ggupjil(skin)
Ji: ah, chiggup (acting as if she knows it well already)
Ro: chiggup!? lol stop acting like you know it.
Li: everyone.. (didn't hear the rest, while focusing on smelling and chewing it)
Je: I heard chiggup tastes good.
Li: !? what is chiggup? 
The rest: !!?? *evil smiles* 
Ji: you not heard about it?
Je: I heard chiyak (toothpaste) has been upgraded to Chiggup.
Ji: you can swallow it now when you finish brushing your teeth.
Je: don't tell me you still use plain toothpaste, Lisa.
Ro: Lisa! c'mon, do you live under a rock?
Je: how could you..  
Ji: have you not seen the ad yet?
Li: no, what on earth is it?
Ji: you don't need to rinse your mouth out anymore.
Je: you can use mine anytime.
Je: Blinks are surprised to hear you brush your teeth with the plain one. 
      a bllink just said the strawberry flavored one is 1 of his/her favorites.
Li: srsly?
Ro: me, peach flavored one.
Li: have you ever swallowed it already?
Ro: pff, You the only one who haven't yet, Lisa.
Li: you've got a rare item and used it all along without telling me, huh?
The rest : you not close to an Inssa (trendsetter).
 * thanks in advance for likes :)",0
160,160,Stephean LC,"Lisa is so cute they are all cute...

BTW english coment passing by",0
161,161,AssassIn,""" GOD DYLN """,0
162,162,dksj disudh,Mother is tasting!,1
163,163,5703 Hello,ìíÜâªÎÑûàõªÎñéªÇª³ªÎªªúüªµªóª¬ìéÛãÓÞû¿ª­,0
164,164,trustkmg,You are the hero of Korean guys.,0
165,165,Ved,Thanks for the english subtitles.,0
166,166,peep,5:29 KID MILLI,1
167,167,yeonjun Ryu,10:03 ??J-THIS??,1
168,168,lmj6294,8:13,1
169,169,PSH,5:29 *kid milli*,1
170,170,bat minji,"08:41 Khundi Panda
10:03 Justhis",0
171,171,Nrnnn ._.,Ash island¡¯s existence and his voice is the reason why I am still living LOL,0
172,172,¬¥¬ðDear Hander,"¬Á ¬ß¬Ö ¬ã¬Þ¬à¬Ô¬Ý¬Ñ ¬à¬ä¬Ó¬Ö¬ã¬ä¬Ú ¬Ó¬Ù¬Ô¬Ý¬ñ¬Õ ¬à¬ä ¬ß¬Ö¬Ô¬à ????

I could not take my eyes off him????????",0
173,173,Andrea Tran,"*He deserves more recognition!!!! Love the way he¡¯s singing, it¡¯s full of emotions and you can definitely feel the talent he has!*",0
174,174,Livs slk,People have to stop sleeping on him! His songs are so good and his voice **chefkiss**,0
175,175,Z?le A?mane,DINGO!! please call Ash to come and do a performance again ??,0
176,176,Claire Haire,"Melody is a masterpiece, *Ash Island* really has the it factor.",0
177,177,Sofia,He's so talented god damn thanks god I found him,0
178,178,Delia Chiculita,"Finally tiktok introduced me to some good stuff, this man is talented af!!",0
179,179,Brittney,"ash is so talented, every time i hear his voice or watch his stuff i¡¯m never let down! not to mention he¡¯s beautiful",0
180,180,Kpop_ Howtosurvive,This is art man,1
181,181,L?via Maria Soares,"His voice is so full of feeling that it makes me have goosebumps and feel my heart beat harder as soon as he sings the first sentence! Even without understanding the lyrics, his voice carries so much emotion, that we feel exactly what the music wants to pass on to us!",0
182,182,Big Young,gang.,0
183,183,Yen Linh Nguyen,"I¡¯m fvcking crying for him, at 1 AM",0
184,184,hey Lay,Ok ASH I¡¯ll Stan you nowwww so stop kill me with your talent!!,0
185,185,Serena Annderyna,He is just amazing and talented. Really loves his voice. I hope he would come and have a concert in Singapore someday. ????,0
186,186,Adiba Mahmood,came here after tiktok recommend it and i immeditaly fell in love with his voice,0
187,187,Al. oni,"This is just my safe place. 
It brights up my day i¡¯m not kidding.
Ash has this power.",0
188,188,Diphylleia Grayi,He is underrated. I'm crying.?? You are so talented babe. Love you.??,0
189,189,Maria,"¬¢¬à¬Ø¬Ö ¬Þ¬à¬Û, ¬Ü¬Ñ¬Ü ¬Ø¬Ö ¬ñ ¬Ö¬Ô¬à ¬Ý¬ð¬Ò¬Ý¬ð ¬Ó¬ã¬Ö¬Þ  ¬ã¬Ö¬â¬Õ¬Ö¬Þ",0
190,190,Innerchild tae,He is so underrated,0
191,191,beyza nur polat,uzun zamand©¥r hi?bir sesten bu kadar etkilenmemi?tim,0
192,192,jggukie,me calling the song rockstar all the time since his ig live: ??,0
193,193,G?lcan Albayrak,"I loved Eclipse. Favorite song of the album.
He is not a rapper he is more than a rapper. That's why I love him, he is different.",0
194,194,Meryam Doughmi,He deserve more than this ??????,0
195,195,?,Ash island¡¯s album will drop early March??,0
196,196,Ayten Ayd©¥n,"So beautiful song
Thank you
Ash island
You are the best
Greetings from turkey",0
197,197,?I? YUICHAN,"Mom, i finally found him??",0
198,198,Ishika Rawat,This performace skills and auras is just another level!,0
199,199,alynadoresu,I'd pick these two songs to vibe into while the world's crashing down around me,0
200,200,asfiyanur sakin,bu m?thi? ?ark©¥ ve sesin i?in te?ekk?r ederim . Defalarca s©¥k©¥lmadan dinliyorum :) ((Thank you for this awesome song and voice. I listen to it over and over again without getting bored :) )),0
201,201,Indy Silva,Jinyoung Supremacy ??,0
202,202,Bts Jimin,His voice IS soooo powerfull OMG i love this song and im in love with him ?? where u have been all this Time OMG his type of music IS my favorit one its make me move even when idont want to OMG i think im in love ???? his voice and the way he sing its full of fillings i Can fell it ??,0
203,203,Dinaa Jpop,I want a long version of ??a star is born?? ?????,0
204,204,G?ls?m -,OK. He is literally my crush,0
205,205,Skylx,"Whoever messes with Ash Island has to go through me first, this man...is EVERYTHING!!!",0
206,206,Elaine Bohman,"Wow. I ran into his latest release on Spotify and I'm blown away! He's so young and full of talent.  His voice ??
Wow.  I'm looking forward to more. Congratulations! Good job! ????????????",0
207,207,lovelyhope,the emotions in his voice is amazing this is why music transcends language,0
208,208,StrayKidsAteezSf9,"Wow, this song is underrated",0
209,209,Adriana Turner,Melody is really that song I know I'll be replaying non stop,0
210,210,Lb _LB,I AM SOO FREAKIN' READY FOR HIS ALBUM ???? ????,0
211,211,Urguya Urguya,Instagram'da g?rd?m ve o kadar ?ok be?endim ki ara?t©¥rd©¥m sesi ?ok g?zel yaaa eriyorum resmen favorim ?ark©¥m olabilir,0
212,212,Naciye Kaya,Sesin ?ok g?zel g?nlerdir bu ?ark©¥y©¥ dinliyorum??,0
213,213,Thiki naan,I¡¯m glad I found this my ears have been blessed??,0
214,214,army? bangwool.,"I can¡¯t stop watching this, like Ash¡¯s performance is that good",0
215,215,rumeysa,Ba?©¥ml©¥l©¥k yapt©¥,0
216,216,YXIN C,Ash deserves everything ??¢¾?,0
217,217,aye aye,sometimes i wonder what he feels and sees when he looks back at the path he¡¯s walked,0
218,218,Zhou ErKe,"Ash island¡¯s tone so top 
On fire ??",0
219,219,Cherry Blossom,ASH and B?G NAUGHTY  prodigies of the year ??????,0
220,220,Nara Pashayeva,Ash's live performances always hit different.  THE TALENTTT,0
221,221,nessa :D,"he¡¯s so talented, I¡¯m glad I found him some months ago",0
222,222,Amanda Sevrillia,... why I can't stop replaying a star is born by him??? ._. Seriously... only 1 day more till all out.. ahh so addicted ._.,0
223,223,lovelyhope,listening to this before my exam it's kind of my lucky charm lol,0
224,224,Suhavi Singh,I FINALLLYYY FOUND IT YOU GUYS HAVE NO IDEA HOW HAPPY I AM,0
225,225,Belinda Pestano,This man is dropping hits with every new song damn mn !!!!!!!,0
226,226,The Cursed,Everything he does is always a masterpiece. I can't with how much talent this man has ???,0
227,227,atinypaigeyy,Ash Island is just amazing????????,0
228,228,D4WN B,Ash Island is up next I promise you!,0
229,229,¡¸ lovelyhope ¡¹,ash is really good in live performances ??,0
230,230,Connor Te Hei,"I saw this on IG and his vocals are no joke! 
Esp @0:36 - 0:47!
Support from New Zealand???????",0
231,231,Joneee,Ash Island is indeed a great underrated revealed talent??,0
232,232,Meherun Mou,Why is this song so relaxing when I have a high fever and a bad headache? I love this song sooo much????,0
233,233,-0904- -386-,he's so talented,1
234,234,fahmida,i fucking love him bro imagine being his s/o like i would be so insecure by his visuals,0
235,235,sara c.,his voice... just wow,0
